"Dataset","Class","Rel. Site Pref. Cutoff","Odds Ratio","OR_CI95_lower","p.value"
"HIV ENV","Polarity & Volume",0.35,1.66409018398653,1.15349274052842,0.00464556347084139
"HIV ENV","Polarity & Volume",0.4,1.49691289515459,1.06087924475176,0.0171467359827961
"HIV ENV","Polarity & Volume",0.45,1.33213972174578,0.958028668414815,0.0786285511834769
"HIV ENV","Polarity & Volume",0.5,1.32854121174722,0.961463188810985,0.0821921969608212
"HIV ENV","Polarity & Volume",0.55,1.39863519786554,1.01424284779828,0.0399800378655215
"HIV ENV","Polarity & Volume",0.6,1.4063359063471,1.0174086058347,0.0375528748134059
"HIV ENV","Polarity & Volume",0.65,1.33835730863187,0.960305805061304,0.0840651443020575
"HIV ENV","Polarity & Volume",0.7,1.18458407479639,0.835810462822718,0.34483180880515
"HIV ENV","Polarity & Volume",0.75,1.37181597855366,0.951562377090385,0.0833193385794753
"HIV ENV","Polarity & Volume",0.8,1.07538587236714,0.705971033347732,0.760289122741479
"HIV ENV","Polarity & Volume",0.85,0.986636734856027,0.60163970055565,1
"HIV ENV","Polarity & Volume",0.9,1.18720469802708,0.660029293625427,0.57421253834039
"HIV ENV","Polarity & Volume",0.95,0.887311902737056,0.33460339738085,1
"NP (H3N2)","Polarity & Volume",0.05,0.723532519826199,0.494698537667439,0.0857026002153395
"NP (H3N2)","Polarity & Volume",0.1,0.841552610431251,0.626573692303899,0.242128354185925
"NP (H3N2)","Polarity & Volume",0.15,0.962609743426229,0.723560657806696,0.832817867177629
"NP (H3N2)","Polarity & Volume",0.2,1.09195415435353,0.816307465491145,0.566337780882739
